date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:24:57	4196/4196	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202016%2022:24:57%20GMT	http://localhost/hypermedia/territorycategory.php?id=1	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/territorycategory681a.html	(from http://localhost/hypermedia/territories.php)
00:24:58	5687/5687	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202016%2022:24:57%20GMT	http://localhost/hypermedia/territorycategory.php?id=2	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/territorycategory0b30.html	(from http://localhost/hypermedia/territories.php)
00:24:58	4430/4430	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202016%2022:24:58%20GMT	http://localhost/hypermedia/territorycategory.php?id=3	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/territorycategoryd708.html	(from http://localhost/hypermedia/territories.php)
00:24:58	4624/4624	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202016%2022:24:58%20GMT	http://localhost/hypermedia/hhdetail.php?id=1	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/hhdetail681a.html	(from http://localhost/hypermedia/hh.php)
00:24:58	4168/4168	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202016%2022:24:58%20GMT	http://localhost/hypermedia/hhdetail.php?id=2	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/hhdetail0b30.html	(from http://localhost/hypermedia/hh.php)
00:25:14	97163/97163	---MC-	200	added ('OK')	text/javascript	date:Mon,%2023%20May%202016%2016:49:10%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	/home/hrh/Documents/HYP/new/offline/Redstone/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from http://localhost/hypermedia/)
00:25:14	4431/4431	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202016%2022:25:14%20GMT	http://localhost/hypermedia/aboutus.php?page=history	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/aboutusad9b.html	(from http://localhost/hypermedia/aboutus.php)
00:25:14	7706/7706	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202016%2022:25:14%20GMT	http://localhost/hypermedia/aboutus.php?page=rules	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/aboutus2669.html	(from http://localhost/hypermedia/aboutus.php)
00:25:17	15706/15706	---M--	200	added ('OK')	image/jpeg	etag:%223d5a-53b703fe68080%22	http://localhost/hypermedia/images/RTEmagicC_come_raggiungerci_01.jpg.jpg	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/images/RTEmagicC_come_raggiungerci_01.jpg.jpg	(from http://localhost/hypermedia/gethere.php)
00:25:17	123503/123503	---M--	200	added ('OK')	image/jpeg	etag:%221e26f-53b5b3f713600%22	http://localhost/hypermedia/images/freemans-campground-03.jpg	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/images/freemans-campground-03.jpg	(from http://localhost/hypermedia/hh.php)
00:25:17	5128/5128	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202016%2022:25:17%20GMT	http://localhost/hypermedia/trail.php?id=1	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/trail681a.html	(from http://localhost/hypermedia/traildifficulty.php?id=1)
00:25:26	261425/261425	---M--	200	added ('OK')	image/jpeg	etag:%223fd31-53b35178d6080%22	http://localhost/hypermedia/images/00-black-bear-cub-vladivostok-russia-01-27-02-15.jpg	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/images/00-black-bear-cub-vladivostok-russia-01-27-02-15.jpg	(from http://localhost/hypermedia/)
00:25:26	7086/7086	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202016%2022:25:26%20GMT	http://localhost/hypermedia/trail.php?id=4	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/traildcfd.html	(from http://localhost/hypermedia/traildifficulty.php?id=3)
00:25:34	237308/237308	---M--	200	added ('OK')	image/jpeg	etag:%2239efc-53b44b949f500%22	http://localhost/hypermedia/images/hiking-feet-fall-1240.jpg	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/images/hiking-feet-fall-1240.jpg	(from http://localhost/hypermedia/trails.php)
00:25:34	5713/5713	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202016%2022:25:34%20GMT	http://localhost/hypermedia/trail.php?id=7	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/trail8803.html	(from http://localhost/hypermedia/traildifficulty.php?id=5)
00:26:32	468349/468349	---M--	200	added ('OK')	image/jpeg	etag:%227257d-53b7045bddd00%22	http://localhost/hypermedia/images/Villa_Santi_h.jpg	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/images/Villa_Santi_h.jpg	(from http://localhost/hypermedia/gethere.php)
00:26:38	496934/496934	---M--	200	added ('OK')	image/jpeg	etag:%2279526-53bc6e3628000%22	http://localhost/hypermedia/images/muoversi_a_piedi_h%20-%20easy.jpg	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/images/muoversi_a_piedi_h%20-%20easy.jpg	(from http://localhost/hypermedia/traildifficulty.php?id=1)
00:26:38	4527/4527	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202016%2022:26:38%20GMT	http://localhost/hypermedia/territory.php?id=2	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/territory0b30.html	(from http://localhost/hypermedia/territorycategory.php?id=1)
00:26:40	13944/13944	---M--	200	added ('OK')	image/jpeg	etag:%223678-53b899b8fbc80%22	http://localhost/hypermedia/images/RTEmagicC_volpe_fauna_01.jpg	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/images/RTEmagicC_volpe_fauna_01.jpg	(from http://localhost/hypermedia/territorycategory.php?id=2)
00:26:41	5219/5219	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202016%2022:26:41%20GMT	http://localhost/hypermedia/territory.php?id=5	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/territoryd61c.html	(from http://localhost/hypermedia/territorycategory.php?id=2)
00:26:44	22036/22036	---M--	200	added ('OK')	image/jpeg	etag:%225614-53b89ba514580%22	http://localhost/hypermedia/images/RTEmagicC_Per_teaser_valli_01.jpg	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/images/RTEmagicC_Per_teaser_valli_01.jpg	(from http://localhost/hypermedia/territorycategory.php?id=3)
00:26:45	5326/5326	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202016%2022:26:45%20GMT	http://localhost/hypermedia/territory.php?id=8	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/territoryc3c9.html	(from http://localhost/hypermedia/territorycategory.php?id=3)
00:26:45	4148/4148	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202016%2022:26:45%20GMT	http://localhost/hypermedia/hhgallery.php?id=1	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/hhgallery681a.html	(from http://localhost/hypermedia/hhdetail.php?id=1)
00:26:46	496886/496886	---M--	200	added ('OK')	image/jpeg	etag:%22794f6-53bc6eb7db200%22	http://localhost/hypermedia/images/muoversi_a_piedi_h%20-%20Challenging.jpg	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/images/muoversi_a_piedi_h%20-%20Challenging.jpg	(from http://localhost/hypermedia/traildifficulty.php?id=3)
00:26:54	493581/493581	---M--	200	added ('OK')	image/jpeg	etag:%227880d-53bc6ed477580%22	http://localhost/hypermedia/images/muoversi_a_piedi_h%20-%20Very%20difficult.jpg	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/images/muoversi_a_piedi_h%20-%20Very%20difficult.jpg	(from http://localhost/hypermedia/traildifficulty.php?id=5)
00:26:54	4135/4135	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202016%2022:26:54%20GMT	http://localhost/hypermedia/hhgallery.php?id=2	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/hhgallery0b30.html	(from http://localhost/hypermedia/hhdetail.php?id=2)
00:27:09	227281/227281	---M--	200	added ('OK')	image/jpeg	etag:%22377d1-53bc772328f00%22	http://localhost/hypermedia/images/Parco-naturale-Adamello-Brenta_imagefullwide.jpg	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/images/Parco-naturale-Adamello-Brenta_imagefullwide.jpg	(from http://localhost/hypermedia/territorycategory.php?id=1)
00:27:23	225801/225801	---M--	200	added ('OK')	image/png	etag:%2237209-53b5c25fe3500%22	http://localhost/hypermedia/images/posizione%20sant'antonio2.PNG	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/images/posizione%20sant'antonio2.png	(from http://localhost/hypermedia/hhdetail.php?id=1)
00:27:24	4648/4648	---M--	200	added ('OK')	image/gif	etag:%221228-53d3207435280%22	http://localhost/hypermedia/images/RTEmagicC_vignetta_osvaldo_con_fiori_01.gif.gif	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/images/RTEmagicC_vignetta_osvaldo_con_fiori_01.gif.gif	(from http://localhost/hypermedia/aboutus.php?page=rules)
00:27:25	5422/5422	---M--	200	added ('OK')	image/gif	etag:%22152e-53d3209888108%22	http://localhost/hypermedia/images/RTEmagicC_vignetta_osvaldo_con_cane_03.gif.gif	/home/hrh/Documents/HYP/new/offline/Redstone/localhost/hypermedia/images/RTEmagicC_vignetta_osvaldo_con_cane_03.gif.gif	(from http://localhost/hypermedia/aboutus.php?page=rules)
